Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Plate1-TS-Blue-B-Stinger	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07496	YML031W	NDC1	ndc1-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08405	YBR135W	CKS1	cks1-35	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10360	YIL046W	MET30	met30-6	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11906	YKL052C	ASK1	ask1-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12354	YHR036W	BRL1	brl1-C371R	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11844	YDL105W	NSE4	nse4-ts4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06478	YPL211W	NIP7	nip7-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09871	YKL125W	RRN3	rrn3-S213P	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06593	YDR208W	MSS4	mss4-103	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10201	YGR099W	TEL2	tel2-15	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08697	YOR181W	LAS17	las17-13	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12311	YKL024C	URA6	ura6-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11997	YHR058C	MED6	med6-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12360	YHR036W	BRL1	brl1-C371S	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	41	F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08890	YGL116W	CDC20	cdc20-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09876	YKL172W	EBP2	ebp2-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07236	YLR314C	CDC3	cdc3-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04859	YFL009W	CDC4	cdc4-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06497	YPR181C	SEC23	sec23-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12326	YDL097C	RPN6	rpn6-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11718	YGR172C	YIP1	yip1-40	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11719	YML049C	RSE1	rse1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07949	YBR156C	SLI15	sli15-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09261	YKR083C	DAD2	dad2-9	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11519	YLR298C	YHC1	yhc1-8	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07750	YGL048C	RPT6	rpt6-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08009	YPR103W	PRE2	pre2-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07857	YFL039C	ACT1	act1-105	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12338	YPR108W	RPN7	rpn7-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11879	YIL147C	SLN1	sln1-ts4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08184	YBL076C	ILS1	ils1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10286	YLR298C	YHC1	yhc1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
