Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
Plate1-Blue-B	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL056C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR013W	GAT3		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR028C	ADE16		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR057W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR077W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR093C	NYV1	MAM2	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR111W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	41	F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL055W	YCT1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR012C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR025W	SNF7	RNS4;VPS32;DID1	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR056W	ERG3	PSO6;SYR1	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR074C	BUD20		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR092W	SUL2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR109W	AHP1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR175W	SIP18		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR188C	MRPS17		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR204C	INP1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR224C	MRE11	NGS1;XRS4;RAD58	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR244W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR258C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR275C	BUL1	SMM2;RDS1;DAG1	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR174C	PAI3		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR187C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR202W	ERG2	END11	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR223W	UBP8		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR243C	ZRC1	OSR1	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR255W	GFD1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Green-A	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR274C	RCE1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
