Replicate,Plate,Well,Entity Identifier,Entity Identifier Source Database,Entity Identifier Link Stem,Strain Name,Gene Symbol,Control Type,Control Comments
1,X_110213_S2_Blue1300,H11,SPBC8D2.02c,Pombase,http://www.pombase.org/spombe/result/,vps68,vps68,,
1,X_110213_S2_Blue1300,H12,,,,Empty,,empty,
1,X_110213_S2_Blue1300,H2,,,,Empty,,empty,
1,X_110213_S2_Blue1300,H3,,,,Empty,,empty,
1,X_110213_S2_Blue1300,H4,SPAPB1E7.07,Pombase,http://www.pombase.org/spombe/result/,glt1,glt1,,
1,X_110213_S2_Blue1300,H5,SPBC1348.14c,Pombase,http://www.pombase.org/spombe/result/,ght7,ght7,,
1,X_110213_S2_Blue1300,H6,SPBC1604.18c,Pombase,http://www.pombase.org/spombe/result/,SPBC1604.18c,,,
1,X_110213_S2_Blue1300,H7,SPBC1711.14,Pombase,http://www.pombase.org/spombe/result/,rec15,rec15,,
1,X_110213_S2_Blue1300,H8,SPBC23E6.05,Pombase,http://www.pombase.org/spombe/result/,arx1,arx1,,
1,X_110213_S2_Blue1300,H9,SPBC2D10.20,Pombase,http://www.pombase.org/spombe/result/,ubc1,ubc1,,
1,X_110222_S1,A1,,,,Empty,,empty,
1,X_110222_S1,A10,SPAC1D4.11c,Pombase,http://www.pombase.org/spombe/result/,lkh1,lkh1,,
1,X_110222_S1,A11,SPAC23C4.17,Pombase,http://www.pombase.org/spombe/result/,trm402,trm402,,
1,X_110222_S1,A12,SPAC2F3.12c,Pombase,http://www.pombase.org/spombe/result/,plp1,plp1,,
1,X_110222_S1,A2,SPAC17A5.18c,Pombase,http://www.pombase.org/spombe/result/,rec25,rec25,,
1,X_110222_S1,A3,SPAC27E2.01,Pombase,http://www.pombase.org/spombe/result/,SPAC27E2.01,,,
1,X_110222_S1,A4,SPAC4G9.19,Pombase,http://www.pombase.org/spombe/result/,SPAC4G9.19,,,
1,X_110222_S1,A5,SPAPB18E9.01,Pombase,http://www.pombase.org/spombe/result/,trm5,trm5,,
1,X_110222_S1,A6,SPBC365.06,Pombase,http://www.pombase.org/spombe/result/,pmt3,pmt3,,
1,X_110222_S1,A7,SPCC613.12c,Pombase,http://www.pombase.org/spombe/result/,raf1,raf1,,
1,X_110222_S1,A8,SPAC13G7.11,Pombase,http://www.pombase.org/spombe/result/,SPAC13G7.11,,,
1,X_110222_S1,A9,SPAC1782.04,Pombase,http://www.pombase.org/spombe/result/,cox24,cox24,,
1,X_110222_S1,B1,SPAC11E3.10,Pombase,http://www.pombase.org/spombe/result/,SPAC11E3.10,,,
1,X_110222_S1,B10,SPAC1F8.08,Pombase,http://www.pombase.org/spombe/result/,SPAC1F8.08,,,
1,X_110222_S1,B11,SPAC25B8.10,Pombase,http://www.pombase.org/spombe/result/,SPAC25B8.10,,,
1,X_110222_S1,B12,SPAC3A12.08,Pombase,http://www.pombase.org/spombe/result/,SPAC3A12.08,,,
1,X_110222_S1,B2,SPAC17D4.01,Pombase,http://www.pombase.org/spombe/result/,pex7,pex7,,
1,X_110222_S1,B3,SPAC27F1.10,Pombase,http://www.pombase.org/spombe/result/,SPAC27F1.10,,,
1,X_110222_S1,B4,SPAC513.06c,Pombase,http://www.pombase.org/spombe/result/,SPAC513.06c,,,
1,X_110222_S1,B5,SPBC106.05c,Pombase,http://www.pombase.org/spombe/result/,tim11,tim11,,
1,X_110222_S1,B6,SPBC3D6.05,Pombase,http://www.pombase.org/spombe/result/,ptp4,ptp4,,
1,X_110222_S1,B7,SPCC757.12,Pombase,http://www.pombase.org/spombe/result/,SPCC757.12,,,
1,X_110222_S1,B8,SPAC1486.01,Pombase,http://www.pombase.org/spombe/result/,SPAC1486.01,,,
1,X_110222_S1,B9,SPAC1782.11,Pombase,http://www.pombase.org/spombe/result/,met14,met14,,
1,X_110222_S1,C1,SPAC1296.02,Pombase,http://www.pombase.org/spombe/result/,cox4,cox4,,
1,X_110222_S1,C10,SPAC212.03,Pombase,http://www.pombase.org/spombe/result/,SPAC212.03,,,
1,X_110222_S1,C11,SPAC25G10.06,Pombase,http://www.pombase.org/spombe/result/,rps2801,rps2801,,
1,X_110222_S1,C12,SPAC3G6.02,Pombase,http://www.pombase.org/spombe/result/,rpn15,rpn15,,
1,X_110222_S1,C2,SPAC17G8.09,Pombase,http://www.pombase.org/spombe/result/,shg1,shg1,,
1,X_110222_S1,C3,SPAC2F3.18c,Pombase,http://www.pombase.org/spombe/result/,SPAC2F3.18c,,,
1,X_110222_S1,C4,SPAC57A10.06,Pombase,http://www.pombase.org/spombe/result/,mug15,mug15,,
